material,avg_m_no_oxygen,avg_r_no_oxygen,avg_r_diff,avg_m_w_oxygen,avg_r_w_oxygen,parent perovskite 1,parent perovskite 2,parent perovskite 3,parent perovskite 4,t_factor,a_site_electronegativity,b_site_electronegativity,electro_diff,T,family,sample_type,measurement_direction,Note,Direction,Substrate,measurement_type,d_star,k_star,ead,eak,First Author,Second Author,Year,DOI,HHI Production average - with oxygen,HHI Production average - without oxygen,HHI Reserve average - with oxygen,HHI Reserve average - without oxygen,Doping Group
La(0.85)Sr(0.15)MnO(3+x),46.8,103.2,0.75,93.1,167.9,LaMn,SrMn,,,0.96726102,1.0775,1.55,-0.4725,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.00E-15,,2.62E+00,,Yasuda,Ogasawara,1996,10.1016/0167-2738(96)00287-1,-2361,-5152.5,1277,2442.5,
Nd(1.8)Ca(0.2)NiO(4+x),55.8,106.3,1,108.8,168,NdNi,NdCa,,,,1.126,1.91,-0.784,1000,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,1.30E-08,2.90E-07,7.40E-01,1.32,Boehm,Bassat,2005,10.1016/j.ssi.2005.06.033,-2982.857143,-6293.333333,1340,2460,
Nd(2)NiO(4+x),58.8,106.4,,115.7,168.3,NdNi,,,,0.943987553,1.14,1.91,-0.77,1000,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,6.20E-08,4.50E-07,1.07E+00,0.77,Boehm,Bassat,2005,10.1016/j.ssi.2005.06.033,-3142.857143,-6666.666667,1385.714286,2566.666667,
Nd(1.95)NiO(4+x),58.1,105.9,,115.2,168.1,NdNi,,,,0.943987553,1.14,1.91,-0.77,1000,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,6.70E-08,1.30E-06,9.40E-01,0.84,Boehm,Bassat,2005,10.1016/j.ssi.2005.06.033,-3078.571429,-6618.644068,1367.142857,2557.627119,
Pr(2)NiO(4+x),57.8,106.4,,113.5,168.3,PrNi,,,,0.844992604,1.13,1.91,-0.78,1000,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,9.20E-08,1.80E-06,7.00E-01,0.72,Boehm,Bassat,2005,10.1016/j.ssi.2005.06.033,-3142.857143,-6666.666667,1385.714286,2566.666667,
La(2)CoO(4+x),57.2,109.3,,112.3,175,LaCo,,,,0.970952595,1.1,1.88,-0.78,937.21,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,3.30E-08,,1.10E-01,,Munnings,Skinner,2006,10.1016/j.ssi.2005.06.002,-3442.857143,-7366.666667,1557.142857,2966.666667,
La(2)Ni(0.2)Co(0.8)O(4+x),57.2,109.3,0,112.2,175,LaCo,NiCo,,,,1.1,1.886,-0.786,769.23,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,2.10E-08,,4.90E-01,,Munnings,Skinner,2006,10.1016/j.ssi.2005.06.002,-3382.857143,-7226.666667,1522.857143,2886.666667,
La(2)Ni(0.5)Co(0.5)O(4+x),57.2,109.3,0,112.2,175,LaCo,NiCo,,,,1.1,1.895,-0.795,793.65,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,9.90E-09,,1.15E+00,,Munnings,Skinner,2006,10.1016/j.ssi.2005.06.002,-3292.857143,-7016.666667,1471.428571,2766.666667,
La(2)Ni(0.7)Co(0.3)O(4+x),57.2,109.3,0,112.2,175,LaCo,NiCo,,,,1.1,1.901,-0.801,769.23,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,1.90E-09,,9.30E-01,,Munnings,Skinner,2006,10.1016/j.ssi.2005.06.002,-3232.857143,-6876.666667,1437.142857,2686.666667,
PrBaCo(2)O(5.74),50.1,104.1,,99,167.5,,,,,,,,,623.15,Double Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.57E-10,4.89E-08,1.27E+00,0.58,Frison,Portier,2012,10.1016/j.nimb.2011.07.060,-2214.579055,-4675,1403.49076,2700,
( La(0.6)Sr(0.4)Co(0.2)Fe(0.8)O(3-x) )_0.4 ( Ce(0.8)Ge(0.2)O(2-x) )_0.189,46.4,102,,94.9,169,,,,,,,,,1000,Perovskite/Electrolyte,Ceramic,bulk,,,,IEDP/SIMS,1.00E-08,1.70E-06,1.56E+00,1.39,Esquirol,Kilner,2004,10.1016/j.ssi.2004.09.013,-2490.744059,-5667.077856,1253.424231,2455.551062,
PrBaCo(2)O(5+x),52.9,107.8,,99,167.5,,,,,,,,,773.99,Double Perovskite,Ceramic,bulk,,,,ECR,4.20E-07,9.10E-05,0.54,0.74,Kim,Wang,2007,10.1039/b618345j,-2355.555556,-4675,1477.777778,2700,
La(0.8)Sr(0.2)MnO(3+x),46.3,103.2,1,91.8,168,LaMn,SrMn,,,0.971569752,1.07,1.55,-0.48,973.71,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.40E-16,2.00E-10,3.2,2.13,Fearn,Rossiny,2012,10.1016/j.ssi.2012.01.029,-2308,-5020,1276,2440,
La(0.8)Sr(0.2)MnO(3+x),46.3,103.2,1,91.8,168,LaMn,SrMn,,,0.971569752,1.07,1.55,-0.48,971.82,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,3.10E-16,9.20E-10,2.80E+00,1.33,DeSouza,Kilner,2000,10.1016/S0167-577X(99)00228-1,-2308,-5020,1276,2440,
Ba(0.5)Sr(0.5)Co(0.8)Fe(0.2)O(3-x),43.8,104.7,8.5,85.4,171.8,BaCo,BaFe,SrCo,SrFe,1.065712846,0.92,1.87,-0.95,873.36,Perovskite,Ceramic,bulk,,,,ECR,1.90E-08,4.80E-06,8.20E-01,0.6,Bucher,Egger,2008,10.1016/j.ssi.2008.01.089,-1612,-3280,1318,2545,
Ba(0.5)Sr(0.5)Co(0.8)Fe(0.2)O(3-x),43.8,104.7,8.5,85.4,171.8,BaCo,BaFe,SrCo,SrFe,1.065712846,0.92,1.87,-0.95,872.6,Perovskite,Ceramic,bulk,,,,ECR,9.80E-09,7.10E-07,1.01E+00,1.98,Girdauskaite,Ullman,2008,10.1016/j.ssi.2008.02.042,-1612,-3280,1318,2545,
Ba(0.5)Sr(0.5)Co(0.8)Fe(0.2)O(3-x),43.8,104.7,8.5,85.4,171.8,BaCo,BaFe,SrCo,SrFe,1.065712846,0.92,1.87,-0.95,691.09,Perovskite,Thin Film,bulk,,,,IEDP/SIMS,4.30E-08,1.40E-08,5.00E-01,1.64,Wang,Merkle,2009,10.1063/1.3085969,-1612,-3280,1318,2545,
La(2)Cu(0.5)Ni(0.5)O(4+x),57.6,109.3,0,113,175,LaCu,LaNi,,,0.990897163,1.1,1.905,-0.805,993.04,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,2.80E-08,,6.50E-01,,Mauvy,Bassat,2003,10.1016/S0167-2738(02)00903-7,-3185.714286,-6766.666667,1385.714286,2566.666667,
